probe_config,condition,public_condition,scan_id,probe_type,n_elements,pa_x,pa_y,pa_z,source_x,source_y,source_z,focus_x,focus_y,focus_z,beam_dx,beam_dy,beam_dz,source_to_focus_mm,aperture_mm,delay_min_us,delay_max_us,delay_span_us,pa_s_mm,geometry_center_mm_display
1D16,PA2_TO_C2,PA2 → C2,134,1D,16,36.431444182147416,154.45268255668202,-96.41246791,36.431444182147416,154.45268255668202,-96.41246791,47.54,197.66,-51.8,0.17607040175077868,0.6848351725966347,0.7071067811878607,63.09155716913933,8.999999999999993,0.0,0.0896578375292342,0.0896578375292342,144.7659633143923,47.272634850252665
1D16,PA2_TO_C2,PA2 → C2,135,1D,16,37.44741134912878,154.17778788145057,-96.4429791,37.44741134912878,154.17778788145057,-96.4429791,48.85,197.34,-51.8,0.1806072963918169,0.6836526928844104,0.7071067811879139,63.13470650783664,8.999999999999993,0.0,0.0932884676524352,0.0932884676524352,145.81890552532792,47.29016644320668
1D16,PA2_TO_C2,PA2 → C2,136,1D,16,38.464756891919535,153.89561972920762,-96.47245793,38.464756891919535,153.89561972920762,-96.47245793,50.16,197.01,-51.8,0.1851204543596854,0.6824444427025953,0.7071067811879672,63.17639586902069,9.000000000000005,0.0,0.0986636286143927,0.0986636286143927,146.87506830681315,47.307104846733985
1D16,PA2_TO_C2,PA2 → C2,137,1D,16,39.480725248745216,153.60607009254798,-96.51136485,39.480725248745216,153.60607009254798,-96.51136485,51.47,196.68,-51.8,0.18960945402986432,0.6812108740620737,0.70710678118802,63.23141856295003,8.999999999999996,0.0,0.0947748005542941,0.0947748005542941,147.9322080528187,47.32946058849794
1D16,PA2_TO_C2,PA2 → C2,138,1D,16,40.493885892413495,153.311565354177,-96.53576529999998,40.493885892413495,153.311565354177,-96.53576529999998,52.77,196.33,-51.8,0.19403990238908406,0.679962143268785,0.7071067811880715,63.26592601026332,9.000000000000005,0.0,0.0929735752056508,0.0929735752056508,148.9875861427758,47.343480977649726
1D16,PA2_TO_C2,PA2 → C2,139,1D,16,41.51268394428367,153.0074171322464,-96.5725397,41.51268394428367,153.0074171322464,-96.5725397,54.08,195.98,-51.8,0.19847956948333187,0.6786794976242349,0.7071067811881225,63.31793286548678,9.0,0.0,0.0910427769799433,0.0910427769799433,150.05145078073187,47.36461138298437
1D16,PA2_TO_C2,PA2 → C2,140,1D,16,42.52893320668015,152.6982334966001,-96.59474994,42.52893320668016,152.6982334966001,-96.59474993999999,55.38,195.61,-51.8,0.20286030142439074,0.6773829774239291,0.7071067811881726,63.34934288811378,9.000000000000023,0.0,0.0872823657106991,0.0872823657106991,151.11392448799887,47.37737328729155
1D16,PA2_TO_C2,PA2 → C2,141,1D,16,43.54379709680743,152.3817413858152,-96.62622177,43.54379709680743,152.3817413858152,-96.62622177,56.68,195.24,-51.8,0.207215727427832,0.6760633419319426,0.7071067811882217,63.393850776928,9.000000000000009,0.0,0.0923397703501081,0.0923397703501081,152.1774593711865,47.39545685968201
1D16,PA2_TO_C2,PA2 → C2,142,1D,16,44.56023711402857,152.05787785177182,-96.65656804,44.56023711402857,152.05787785177182,-96.65656804000001,57.98,194.86,-51.8,0.2115455050004549,0.6747210529631236,0.7071067811882702,63.436766883524996,8.999999999999988,0.0,0.0883573896522591,0.0883573896522591,153.24467949533826,47.41289369034371
1D16,PA2_TO_C2,PA2 → C2,143,1D,16,45.57141177251975,151.72911617363346,-96.68245169,45.57141177251975,151.72911617363346,-96.68245169,59.27,194.47,-51.8,0.21581629932475135,0.6733671546365082,0.7071067811883168,63.47337189239441,9.000000000000014,0.0,0.0843931335523322,0.0843931335523322,154.30827170776013,47.42776631956471
1D16,PA2_TO_C2,PA2 → C2,144,1D,16,46.584297836498095,151.39297268814192,-96.70711426,46.584297836498095,151.39297268814192,-96.70711426,60.56,194.07,-51.8,0.22006120710551902,0.6719918638828116,0.7071067811883625,63.50825003336721,8.999999999999996,0.0,0.0824633163887789,0.0824633163887789,155.37576356430935,47.441937321693324
