condition,scan_id,probe_x,probe_y,probe_z,focus_x,focus_y,focus_z,n_elements,scan_s_mm,scan_pixel
A_PA1_to_C1,77,-41.919417359232085,206.77213383026503,-89.18434026853464,-30.099999999999998,170.26,-51.800000000000004,64,108.35602788287669,124.0563863355792
A_PA1_to_C1,78,-40.549391092869115,207.27851561654757,-89.34193078350054,-28.710000000000004,170.5,-51.800000000000004,64,109.76659514465473,125.67133919605695
A_PA1_to_C1,79,-39.172223859249115,207.7673671887726,-89.49243903545896,-27.32999999999999,170.73,-51.800000000000004,64,111.16563052662333,127.27308925310264
A_PA1_to_C1,80,-37.78842126078581,208.23922993018812,-89.63609218903564,-25.94,170.94000000000003,-51.800000000000004,64,112.57140433488695,128.88255410767349
A_PA1_to_C1,81,-36.398144323079634,208.69380836243153,-89.77278007058169,-24.539999999999996,171.15000000000003,-51.800000000000004,64,113.98706672401792,130.50334035923868
A_PA1_to_C1,82,-35.00156598799799,209.13081320906835,-89.90239448340782,-23.150000000000002,171.33999999999997,-51.800000000000004,64,115.38999223879053,132.1095442138945
A_PA1_to_C1,83,-33.59882471196269,209.54981931125974,-90.02477205237446,-21.75,171.53,-51.800000000000004,64,116.80282627009075,133.727092289803
A_PA1_to_C1,84,-32.1893973615706,209.9482143116595,-90.13887484508459,-20.36,171.70000000000002,-51.800000000000004,64,118.20318336740557,135.33035557350362
A_PA1_to_C1,85,-30.77429878000518,210.328098954824,-90.24555516389711,-18.960000000000004,171.86,-51.800000000000004,64,119.61229656371025,136.94364368019106
A_PA1_to_C1,86,-29.353752174889728,210.68921166922962,-90.34471752312658,-17.56,172.01,-51.800000000000004,64,121.02030934774312,138.55567192923525
A_PA1_to_C1,87,-27.92799141483867,211.03129818854404,-90.4362692640794,-16.16,172.14,-51.800000000000004,64,122.42633210716062,140.16542180699426
A_PA1_to_C1,88,-26.49708986336301,211.35339983708317,-90.5198371965285,-14.760000000000002,172.27,-51.800000000000004,64,123.83235486657811,141.7751716847533
A_PA1_to_C1,89,-25.060970741497925,211.65367905566978,-90.594698687592,-13.36,172.38,-51.800000000000004,64,125.23666964610584,143.38296610311428
A_PA1_to_C1,90,-23.62047023416736,211.93414305010464,-90.6616657715752,-11.950000000000001,172.49,-51.800000000000004,64,126.65095391738937,145.0021745530247
A_PA1_to_C1,91,-22.17586800900967,212.1945834286198,-90.72066392626357,-10.549999999999999,172.57999999999998,-51.800000000000004,64,128.05384379189843,146.6083376032842
A_PA1_to_C1,92,-20.727453063034623,212.43480425702376,-90.77162563826467,-9.14,172.66000000000003,-51.800000000000004,64,129.46611147190814,148.22523726584765
A_PA1_to_C1,93,-19.275095162868993,212.65187307593305,-90.81339786387643,-7.740000000000001,172.73,-51.800000000000004,64,130.8678603795232,149.83009402763793
A_PA1_to_C1,94,-17.819519238473163,212.8477616926178,-90.84677561774734,-6.329999999999999,172.78,-51.800000000000004,64,132.27874662582371,151.44541209222962
A_PA1_to_C1,95,-16.361134123678585,213.0228626326401,-90.87192424144814,-4.920000000000001,172.82999999999998,-51.800000000000004,64,133.68963287212424,153.0607301568213
A_PA1_to_C1,96,-14.90026325715754,213.17704027493127,-90.8888001372905,-3.52,172.86,-51.800000000000004,64,135.08995426380545,154.66395256128374
A_PA1_to_C1,97,-13.43703824777575,213.30785671798188,-90.8964513331106,-2.11,172.89,-51.800000000000004,64,136.50027337663064,156.27862131701005
A_PA1_to_C1,98,-11.971971855513626,213.41633410235178,-90.89529536304707,-0.7000000000000001,172.90000000000003,-51.800000000000004,64,137.91030883717764,157.8929653203687
A_PA1_to_C1,99,-10.505520051148407,213.5035449776888,-90.88576482916936,0.7000000000000001,172.90000000000003,-51.800000000000004,64,139.31030883717764,159.49581976477066
A_PA1_to_C1,100,-9.03802752308437,213.56942533875434,-90.86784563242013,2.11,172.89,-51.800000000000004,64,140.72034429772464,161.11016376812933
A_PA1_to_C1,101,-7.569807923952865,213.61171415695904,-90.84065939040937,3.52,172.86,-51.800000000000004,64,142.13066341054983,162.72483252385567
A_PA1_to_C1,102,-6.1013043485989,213.63124009584075,-90.8045463307863,4.920000000000001,172.82999999999998,-51.800000000000004,64,143.53098480223105,164.32805492831804
A_PA1_to_C1,103,-4.63290635035838,213.62934326947368,-90.76004220259483,6.329999999999999,172.78,-51.800000000000004,64,144.94187104853157,165.94337299290976
A_PA1_to_C1,104,-3.1649638383140877,213.60603355183594,-90.70716071871894,7.740000000000001,172.73,-51.800000000000004,64,146.3527572948321,167.55869105750145
A_PA1_to_C1,105,-1.697943285825935,213.55919295710225,-90.64508693655804,9.14,172.66000000000003,-51.800000000000004,64,147.75450620244715,169.16354781929175
A_PA1_to_C1,106,-0.2322283949211496,213.48964013175782,-90.57415246751472,10.549999999999999,172.57999999999998,-51.800000000000004,64,149.16677388245685,170.78044748185513
A_PA1_to_C1,107,1.2318954371084003,213.39884013213708,-90.494939805427,11.950000000000001,172.49,-51.800000000000004,64,150.5696637569659,172.38661053211467
A_PA1_to_C1,108,2.6940895608745743,213.2868762750944,-90.40749239818872,13.36,172.38,-51.800000000000004,64,151.98394802824942,174.0058189820251
A_PA1_to_C1,109,4.153793231843601,213.15203258624499,-90.31115359116731,14.760000000000002,172.27,-51.800000000000004,64,153.38826280777715,175.61361340038607
A_PA1_to_C1,110,5.610639042819751,212.9946945263486,-90.20608538842838,16.16,172.14,-51.800000000000004,64,154.79428556719466,177.2233632781451
A_PA1_to_C1,111,7.064485336711198,212.81660122945664,-90.09297442379187,17.56,172.01,-51.800000000000004,64,156.20030832661217,178.83311315590413
A_PA1_to_C1,112,8.51502038884186,212.61790787921868,-89.97189010856013,18.960000000000004,171.86,-51.800000000000004,64,157.60832111064505,180.44514140494832
A_PA1_to_C1,113,9.961751170364483,212.3978116720477,-89.8425329653821,20.36,171.70000000000002,-51.800000000000004,64,159.01743430694972,182.05842951163575
A_PA1_to_C1,114,11.404091829012078,212.15529861284764,-89.70452284322877,21.75,171.53,-51.800000000000004,64,160.41779140426456,183.6616927953364
A_PA1_to_C1,115,12.842164013141215,211.89280589036775,-89.55881087418322,23.150000000000002,171.33999999999997,-51.800000000000004,64,161.83062543556477,185.27924087124487
A_PA1_to_C1,116,14.27569473601576,211.61054562237044,-89.40548865092514,24.539999999999996,171.15000000000003,-51.800000000000004,64,163.23355095033736,186.8854447259007
A_PA1_to_C1,117,15.704420609000886,211.3087399634558,-89.24465069119623,25.94,170.94000000000003,-51.800000000000004,64,164.64921333946833,188.50623097746586
A_PA1_to_C1,118,17.12746706111787,210.9853888030928,-89.07554022675586,27.32999999999999,170.73,-51.800000000000004,64,166.05498714773194,190.11569583203672
A_PA1_to_C1,119,18.54500242105926,210.64245975846785,-88.89892252982665,28.710000000000004,170.5,-51.800000000000004,64,167.45402252970052,191.71744588908237
A_PA1_to_C1,120,19.95695951902884,210.28081088695933,-88.71513602499982,30.099999999999998,170.26,-51.800000000000004,64,168.86458979147855,193.33239874956013
A_PA1_to_C1,121,21.363122551409962,209.90070433483737,-88.52429015015632,31.490000000000002,170.01,-51.800000000000004,64,170.27689287509764,194.94933894557542
A_PA1_to_C1,122,22.763287163308185,209.50241116711734,-88.32649553713337,32.87,169.75,-51.800000000000004,64,171.68117204962098,196.55709259990817
A_PA1_to_C1,123,24.15657910066909,209.08432508444196,-88.12115160875746,34.25,169.47,-51.800000000000004,64,173.08929136274753,198.16924281368898
A_PA1_to_C1,124,25.543293466436644,208.64820724072277,-87.90893755362836,35.63,169.19000000000003,-51.800000000000004,64,174.49741067587408,199.78139302746973
A_PA1_to_C1,125,26.92344255045924,208.1948571715838,-87.69016649807516,37.0,168.89,-51.800000000000004,64,175.89987279657467,201.38706634409144
A_PA1_to_C1,126,28.296872416348656,207.72456819260202,-87.46495907252391,38.38,168.59,-51.800000000000004,64,177.31210507208743,203.0039254721868
A_PA1_to_C1,127,29.663439688942976,207.23763640733537,-87.2334345109946,39.75,168.27,-51.800000000000004,64,178.71898104387742,204.61465218940532
A_PA1_to_C1,128,31.023012683729167,206.73436170913817,-86.99571479085466,41.12,167.94000000000003,-51.800000000000004,64,180.12816520501462,206.22802154344785
A_PA1_to_C1,129,32.37470356525212,206.2133764793259,-86.75128976688967,42.48,167.6,-51.800000000000004,64,181.53002111772463,207.8330008149467
A_PA1_to_C1,130,33.719101063085496,205.6766080948198,-86.50089817554122,43.84,167.25,-51.800000000000004,64,182.93433589725237,209.4407952333077
A_PA1_to_C1,131,35.05617762104751,205.12451340531013,-86.24471920298933,45.199999999999996,166.89,-51.800000000000004,64,184.34117632885787,211.05148126071003
A_PA1_to_C1,132,36.38584781708681,204.55739637263824,-85.98287507018212,46.56,166.51,-51.800000000000004,64,185.75326697750617,212.6681782407703
A_PA1_to_C1,133,37.70803641502904,203.97556182960767,-85.71548684828234,47.91,166.13,-51.800000000000004,64,187.15572909820676,214.27385155739194
A_PA1_to_C1,134,39.022676911149716,203.37931197772247,-85.44267500237243,49.26,165.73,-51.800000000000004,64,188.56374188223964,215.88587980643612
A_PA1_to_C1,135,40.32971261578653,202.76894899163807,-85.16455939825485,50.61000000000001,165.33,-51.800000000000004,64,189.97175466627252,217.4979080554803
A_PA1_to_C1,136,41.62902929258817,202.14465649380122,-84.8812160005424,51.959999999999994,164.91,-51.800000000000004,64,191.3855792664263,219.11659022973842
A_PA1_to_C1,137,42.92008254787703,201.50587618044761,-84.59244212770966,53.300000000000004,164.48,-51.800000000000004,64,192.79288165042203,220.72780514459913
A_PA1_to_C1,138,44.203440955801256,200.8539741852588,-84.29875593198065,54.63,164.04,-51.800000000000004,64,194.1937742230342,222.33168149184277
A_PA1_to_C1,139,45.479083879422326,200.18924068764778,-84.00027201496113,55.97000000000001,163.59,-51.800000000000004,64,195.6073158743484,223.95003971909722
A_PA1_to_C1,140,46.74699928704412,199.5119648380151,-83.69710381974916,57.300000000000004,163.13,-51.800000000000004,64,197.0146182583441,225.56125463395793
A_PA1_to_C1,141,48.007181537454464,198.82243129729403,-83.3893624432826,58.62,162.66,-51.800000000000004,64,198.41579633410748,227.16545785262642
A_PA1_to_C1,142,49.25963216287593,198.12092114404788,-83.07715879174981,59.94,162.18000000000004,-51.800000000000004,64,199.82036032339383,228.77353759025112
A_PA1_to_C1,143,50.504359087927725,197.4077115489707,-82.76060183738355,61.26,161.68000000000004,-51.800000000000004,64,201.23188432248133,230.38958581547786
A_PA1_to_C1,144,51.74137630049833,196.68307631020824,-82.4397969481123,62.57999999999999,161.18000000000004,-51.800000000000004,64,202.64340832156884,232.00563404070462
A_PA1_to_C1,145,52.97070413149112,195.94728477271042,-82.11485016116147,63.88999999999999,160.66,-51.800000000000004,64,204.05284083148197,233.6192877282752
A_PA1_to_C1,146,54.19236807897806,195.20060217646073,-81.78586373787522,65.19,160.14,-51.800000000000004,64,205.45298368133695,235.22230572090925
A_PA1_to_C1,147,55.40639861693578,194.44328844032668,-81.45293907592712,66.49,159.6,-51.800000000000004,64,206.86067682971836,236.83396802036447
A_PA1_to_C1,148,56.61283103800743,193.67559868660254,-81.11617586847467,67.79,159.05999999999997,-51.800000000000004,64,208.2683699780998,238.44563031981974
A_PA1_to_C1,149,57.811705742301854,192.89778461982107,-80.77567078527012,69.08,158.5,-51.800000000000004,64,209.67467719915783,240.05570587658218
A_PA1_to_C1,150,59.0030673546265,192.11009300087846,-80.431518605454,70.37,157.93000000000004,-51.800000000000004,64,211.084996311983,241.6703746323085
A_PA1_to_C1,151,60.18696445293098,191.3127651870468,-80.08381316359738,71.64999999999999,157.35,-51.800000000000004,64,212.4902720856303,243.2792692890235
A_PA1_to_C1,152,61.36344839289592,190.5060368241799,-79.73264497029759,72.93,156.77,-51.800000000000004,64,213.8955478592776,244.88816394573848
A_PA1_to_C1,153,62.53257525076112,189.69013986366625,-79.37810395588247,74.2,156.17,-51.800000000000004,64,215.3001474463486,246.49628443912556
A_PA1_to_C1,154,63.69440350185478,188.86530081635578,-79.02027652704841,75.47000000000001,155.55999999999997,-51.800000000000004,64,216.70904772670914,248.10932877919342
A_PA1_to_C1,155,64.8489950311793,188.03174176603557,-78.65924735945033,76.74,154.94000000000003,-51.800000000000004,64,218.1223063725344,249.72736299458666
A_PA1_to_C1,156,65.99641377848022,187.18967854614158,-78.29510006010506,77.99,154.30999999999997,-51.800000000000004,64,219.5220920704182,251.3299720853462
A_PA1_to_C1,157,67.13672726207854,186.33932368048715,-77.92791593936606,79.25,153.67,-51.800000000000004,64,220.93531533657256,252.94796579469457
A_PA1_to_C1,158,68.27000362544098,185.4808832655693,-77.55777279708337,80.5,153.02,-51.800000000000004,64,222.34421561693307,254.56101013476245
A_PA1_to_C1,159,69.3963146922312,184.61455973024454,-77.1847486605872,81.74,152.36,-51.800000000000004,64,223.74892199194528,256.16925288923966
A_PA1_to_C1,160,70.51573242914215,183.74054930316348,-76.80891769989609,82.98,151.69000000000003,-51.800000000000004,64,225.1583545018584,257.78290657681026
A_PA1_to_C1,161,71.62833176385743,182.8590444248774,-76.43035371243633,84.20999999999998,151.01,-51.800000000000004,64,226.56380816527104,259.39200489881165
A_PA1_to_C1,162,72.73418891237762,181.9702330772119,-76.04912746341594,85.43,150.31999999999996,-51.800000000000004,64,227.96541438671846,260.99669829977483
A_PA1_to_C1,163,73.83338034769403,181.07429724503453,-75.66530789168684,86.64999999999999,149.62,-51.800000000000004,64,229.37197046451982,262.60705877163514
A_PA1_to_C1,164,74.92598411421237,180.17141451585326,-75.27896292817486,87.87,148.91,-51.800000000000004,64,230.78352988586914,264.2231475516689
A_PA1_to_C1,165,76.01207975140403,179.2617589762031,-74.89015774945686,89.08000000000001,148.19000000000003,-51.800000000000004,64,232.19154266990202,265.8351758007131
A_PA1_to_C1,166,77.09174762221413,178.34549973922313,-74.49895691208107,90.27999999999999,147.46,-51.800000000000004,64,233.596142256973,267.4432962941001
A_PA1_to_C1,167,78.16506757020039,177.42280052578397,-74.10542222749868,91.48,146.72,-51.800000000000004,64,235.00596494085917,269.05739669030413
