probe_config,condition,public_condition,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,scan_id,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm,central_focus_distance_mm,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,relative_amplitude_percent,amplitude_note,calibration_status,detection_status
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,59,-60.831994544233034,181.08807646051008,-69.94115893,-49.06551810654116,165.78762426472855,-51.8,94.43143671435904,26.48877974686023,92.29728919663009,92.11973668778658,20.766568144757606,1.146148213949865,16,1.9840122746212262e-44,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,60,-59.297708438570325,181.3782071730517,-69.7310321,-47.62033335174925,166.2115357972854,-51.8,95.66789102337152,26.22805600325782,93.74426287977585,93.54112398420877,20.059997423493613,1.1523400775124957,16,7.462098354213752e-46,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,61,-57.75621645856094,181.6619612177616,-69.52637385,-46.17036567435123,166.6188684145195,-51.8,96.91601584963837,25.97596791942295,95.18832063482009,94.9592749988656,19.376537870764622,1.1551934195878788,16,2.6882785330037057e-47,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,62,-56.207426276807446,181.93926589183457,-69.3270903,-44.71803528894126,167.01757889410376,-51.8,98.17561675466298,25.726673755358725,96.63173547785921,96.37654919032656,18.70862077554161,1.1547490658991864,16,9.228063091112003e-49,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,63,-54.66462485432847,182.20700127577703,-69.14074799,-43.26104419633069,167.3989959788855,-51.8,99.43612554824908,25.49549398519115,98.07195666953746,97.78752773192114,18.031707742915273,1.160046116142066,16,3.05247979138842e-50,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,64,-53.12215712425866,182.46832309679507,-68.94955928,-41.80128557603732,167.76967860599066,-51.8,100.70024360540849,25.264988936799806,99.51091724449792,99.19523387389178,17.344873562310227,1.1654672549257947,16,9.670587465630908e-52,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,65,-51.58546065176033,182.7202125380201,-68.77133599,-40.33850813280624,168.12824256655034,-51.8,101.96480630335117,25.048867716871992,100.94817463751296,100.59751932700591,16.642140178853037,1.1701950433110362,16,2.94738700709809e-53,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,66,-50.03849639118689,182.96711422480485,-68.58942075,-38.87285347778319,168.4748809394959,-51.8,103.24147551165082,24.83105024734132,102.38377977070786,101.99933076349522,15.966802736361855,1.1740641957735205,16,8.568261704475632e-55,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,67,-48.49704381994887,183.20463364523323,-68.42042093,-37.40284575464914,168.80242483594583,-51.8,104.51826402227823,24.632158679027672,103.81543452781376,103.39408221761421,15.288272518760854,1.1751679889751427,16,2.4089820971376024e-56,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,68,-46.95842213090162,183.4343129599212,-68.25544687,-35.931476682673924,169.1239832081736,-51.8,105.79640993274333,24.436873679203206,105.247325413527,104.78562866694348,14.589461248809219,1.180781774146694,16,6.487709350679108e-58,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
