probe_config,condition,public_condition,scan_id,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm,source_to_focus_mm,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,green_incident,green_phase_proxy,finite_beam_factor,born_response,kirchhoff_zone_response,edge_gtd_response,total_physics_response,continuous_geometry_echo,response_vs_geometry_percent_raw,note,edm_detectability_percent,detection_status,minus_6db_width_scan_id,v62c_layer,physics_chain,public_label,confidential_name_displayed,hardware_status,display_note
2D8x8,PA1_TO_C1,PA1 → C1,0,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-149.90804692985944,151.2775293093675,-92.07492606,-124.23,120.25,-51.800000000000004,58.364609595178024,56.95734665795265,4.915821014845836,4.763938398933851,58.16985941300452,0.5193508914413556,64,1.0280202406246728,-0.5759963036719339,0.9263822578494529,0.3333188990686878,0.41976299692455155,0.617027092332544,1.5071198871583618,81.11332902750192,1.858042204934487,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,34.704592980778514,WEAK,6.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
2D8x8,PA1_TO_C1,PA1 → C1,48,EDM_02,C1,-66.245,159.7865,-51.63,3.0,-77.76961412683335,177.3869708662291,-72.59007124,-64.7025353128103,160.33498587487588,-51.800000000000004,29.697102415408494,29.89558166421085,1.6458839771276756,1.6278277966667876,29.65245467976741,0.5437268196825933,64,2.0203991339191627,0.9831556489592039,0.9911545259816472,0.6069839648983368,0.8989596708262341,1.126848357874936,2.896071192959458,154.53788629678274,1.8740201916555848,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,66.68810679986389,STRONG,16.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
2D8x8,PA1_TO_C1,PA1 → C1,94,EDM_03,C1,0.0,173.11,-51.63,3.0,-6.915600971120844,186.74388956600018,-65.77616329,2.9625680750318857,172.87186025372273,-51.800000000000004,20.828404099138254,22.03053701691809,2.976981716093524,2.642767616405428,20.6600628421764,0.6091637152743532,64,2.8806815785988333,0.04954393425457582,0.9762051515979289,0.8523834849691864,1.2574163828270388,1.5811261717262002,4.060018643474669,209.70891433341484,1.9360257795334685,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,93.49043544361083,STRONG,17.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
2D8x8,PA1_TO_C1,PA1 → C1,139,EDM_04,C1,67.37,159.429,-51.63,8.0,62.22710358039246,180.3555107635274,-69.69507464,68.7798488771743,158.6302981618468,-51.800000000000004,28.119657858295707,28.899083547474113,1.6292631717248498,1.4108618302859781,28.0842416127524,0.3972563946571696,64,2.1337386216560645,-0.9835791320314985,0.9931105842433898,1.0488705001059446,0.9518356187863851,1.9472122130835903,4.3427101651735125,159.86666125278583,2.7164576598661134,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,100.0,STRONG,18.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
2D8x8,PA1_TO_C1,PA1 → C1,160,EDM_05,C1,95.60149999999999,144.254,-51.63,3.0,94.31223338190296,172.17488171092018,-75.21046543999998,96.48753413538964,143.47098968365705,-51.800000000000004,36.56878715919862,37.10384404611377,1.19459685441372,1.0602305722226453,36.55341441546185,0.2157108900541793,64,1.640743504530131,-0.7783453190340295,0.9961312324281475,0.4953999138564928,0.7347235859841781,0.9198531567107762,2.364974322206592,124.5154004598048,1.8993428230350005,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,54.458488645467774,MEDIUM,19.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
2D8x8,PA2_TO_C2,PA2 → C2,172,EDM_06,C2,94.9125,178.63,-51.36,4.0,74.69654769593639,139.32569280817717,-97.01785697,95.43,179.51,-51.800000000000004,63.54646484645962,63.9477065882041,1.1116682283847141,1.0334392848740028,63.538061016423896,0.0243540386194887,64,0.9441909970125237,-0.6806010171041471,0.9963700733531614,0.329267278533467,0.4229309865455753,0.6113955012628968,1.499953142976133,72.24653152537316,2.0761593827509155,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,85.94712264458457,STRONG,20.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
2D8x8,PA2_TO_C2,PA2 → C2,145,EDM_07,C2,61.687000000000005,192.4055,-51.36,6.0,47.598933361388,151.04939742262195,-96.73057258,61.85000000000001,193.66000000000003,-51.800000000000004,62.98642471391462,63.54142510765766,1.3393801738117879,1.2135890720104938,62.97473223290379,0.0419497287587162,64,0.9525862163556827,-0.9999039907477321,0.9949632292702154,0.4062795828456807,0.4259315065146664,0.7543385523080323,1.7452046058352175,72.70847312870896,2.4002767913250582,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,100.0,STRONG,19.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
2D8x8,PA2_TO_C2,PA2 → C2,117,EDM_08,C2,24.747500000000002,200.793,-51.36,4.0,19.045432453321975,158.07682644507008,-95.87908322999999,24.94,201.76,-51.800000000000004,61.96074425893737,62.33723732080003,1.0796968324488008,1.0088340831708742,61.95253088384746,0.046186560509728,64,0.9683550563766099,0.8590253697494931,0.9965451509228783,0.33775333753131637,0.43385090577121216,0.6271585910434393,1.538639117780565,74.11300530090138,2.0760716847652265,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,88.16382403736581,STRONG,19.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
2D8x8,PA2_TO_C2,PA2 → C2,74,EDM_09,C2,-33.2785,199.578,-51.36,4.0,-25.383259478362767,158.00749812419178,-95.07276046000001,-32.97,200.61,-51.800000000000004,60.83787369833382,61.19692472379177,1.1635275028979881,1.1034454771896978,60.82786601725633,0.037938918646919,64,0.9862277616326889,0.4468376798475261,0.9958838537502496,0.34375890637558565,0.4414846060864533,0.638294030848142,1.5658912976411992,75.49398962206126,2.074193330462967,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,89.72537044685355,STRONG,19.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
2D8x8,PA2_TO_C2,PA2 → C2,20,EDM_10,C2,-100.4165,175.5925,-51.36,3.0,-81.00797007779988,139.09895099755246,-94.14684997,-101.35000000000001,176.24,-51.800000000000004,59.49104708181111,59.88748955115404,1.2183096896930732,1.1481306120280232,59.47996703923087,0.065480550158842,64,1.008555117839647,0.8395677717373885,0.9955373375473844,0.30433777866563544,0.45128088740491906,0.5650867517440776,1.4527759595960954,77.14465967142834,1.88318409308396,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,83.24387608986557,STRONG,19.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
