condition,x_mm,y_mm,z_mm,green_amplitude_percent,frequency_hz,velocity_m_per_s,wavelength_mm,physics_level
B_PA2_to_C2,194.51910112359553,-223.90898876404495,-51.8,2.206704565538053,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,196.3303370786517,-223.90898876404495,-51.8,2.199100350863117,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,198.14157303370789,-223.90898876404495,-51.8,2.194845414580895,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,199.95280898876405,-223.90898876404495,-51.8,2.188175953923315,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,201.76404494382024,-223.90898876404495,-51.8,2.179154419958446,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,203.57528089887643,-223.90898876404495,-51.8,2.170298065697838,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,205.38651685393262,-223.90898876404495,-51.8,2.1656586270442526,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,207.19775280898878,-223.90898876404495,-51.8,2.1587567699499566,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,209.00898876404497,-223.90898876404495,-51.8,2.149652313404805,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,210.82022471910113,-223.90898876404495,-51.8,2.1384082863101517,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,212.63146067415732,-223.90898876404495,-51.8,2.1332019153350474,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,214.4426966292135,-223.90898876404495,-51.8,2.1264465660502045,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,216.25393258426968,-223.90898876404495,-51.8,2.1176276878207583,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,218.06516853932587,-223.90898876404495,-51.8,2.1068046195949184,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,219.87640449438203,-223.90898876404495,-51.8,2.0969107182741613,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,221.68764044943822,-223.90898876404495,-51.8,2.0906761259656346,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,223.4988764044944,-223.90898876404495,-51.8,2.0825061117126165,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,225.31011235955057,-223.90898876404495,-51.8,2.0724559022515,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,227.12134831460676,-223.90898876404495,-51.8,2.0605829889588243,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,228.93258426966295,-223.90898876404495,-51.8,2.0514511482729225,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,230.74382022471912,-223.90898876404495,-51.8,2.0443359455947987,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,232.5550561797753,-223.90898876404495,-51.8,2.0354533952473943,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,234.36629213483147,-223.90898876404495,-51.8,2.024856133154563,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,236.17752808988766,-223.90898876404495,-51.8,2.012598625691948,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,237.98876404494385,-223.90898876404495,-51.8,2.001152810691752,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,239.8,-223.90898876404495,-51.8,1.9936973171923669,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,78.6,-219.8179775280899,-51.8,2.191489884028947,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,80.41123595505617,-219.8179775280899,-51.8,2.2014487493823673,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,82.22247191011236,-219.8179775280899,-51.8,2.2064689836592004,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,84.03370786516854,-219.8179775280899,-51.8,2.214663729074362,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,85.84494382022471,-219.8179775280899,-51.8,2.2230225089876714,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,87.65617977528089,-219.8179775280899,-51.8,2.229721322296545,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,89.46741573033708,-219.8179775280899,-51.8,2.23814943514484,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,91.27865168539326,-219.8179775280899,-51.8,2.24369350968125,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,93.08988764044943,-219.8179775280899,-51.8,2.2512906770605716,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,94.90112359550562,-219.8179775280899,-51.8,2.2572492326839297,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,96.7123595505618,-219.8179775280899,-51.8,2.2660251241278604,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
B_PA2_to_C2,98.52359550561798,-219.8179775280899,-51.8,2.2696770528150787,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
