path_name,scan_id,probe_x,probe_y,probe_z,focus_x,focus_y,focus_z,n_elements,scan_s_mm,scan_pixel
PA2_TO_C2,44,-67.43704656234294,151.00688424031952,-89.9932640606525,-72.06,190.09999999999997,-51.800000000000004,64,59.46046021777555,79.7699874052065
PA2_TO_C2,45,-66.40230189331928,151.13820215259082,-90.29075113844434,-70.79,190.57999999999998,-51.800000000000004,64,60.8181420656324,81.59140391471819
PA2_TO_C2,46,-65.36609387181097,151.2678522055928,-90.58384371028333,-69.52,191.04,-51.800000000000004,64,62.16888260326353,83.40350821528878
PA2_TO_C2,47,-64.32843764514976,151.39582463511093,-90.87251660833755,-68.25,191.5,-51.800000000000004,64,63.51962314089465,85.21561251585935
PA2_TO_C2,48,-63.28934886231595,151.5221097582287,-91.1567453525607,-66.98,191.95000000000002,-51.800000000000004,64,64.86699094517083,87.0231920802227
PA2_TO_C2,49,-62.24884367455399,151.64669748594082,-91.43650640982341,-65.7,192.39,-51.800000000000004,64,66.22050489042591,88.83901708343201
PA2_TO_C2,50,-61.20693837904393,151.76957901160443,-91.71177513775478,-64.42,192.81999999999996,-51.800000000000004,64,67.57080115421397,90.65052536239871
PA2_TO_C2,51,-60.16364981403855,151.89074522038314,-91.98252799904806,-63.13999999999999,193.25,-51.800000000000004,64,68.92109741800205,92.46203364136544
PA2_TO_C2,52,-59.118995098258246,152.01018632705112,-92.24874172716541,-61.85000000000001,193.66000000000003,-51.800000000000004,64,70.27468524300639,94.27795775895508
PA2_TO_C2,53,-58.072991616937074,152.12789314608403,-92.51039273571692,-60.56,194.06999999999996,-51.800000000000004,64,71.62827306801073,96.0938818765447
PA2_TO_C2,54,-57.02565725142257,152.24385640055144,-92.76745833238854,-59.269999999999996,194.47,-51.800000000000004,64,72.97886553059892,97.90578752503176
PA2_TO_C2,55,-55.97700994133772,152.35806700921157,-93.0199148280702,-57.980000000000004,194.86,-51.800000000000004,64,74.3265301773119,99.71376532239495
PA2_TO_C2,56,-54.92706831895261,152.47051600784266,-93.26774021710568,-56.68,195.24,-51.800000000000004,64,75.68093041357886,101.53077934134002
PA2_TO_C2,57,-53.87585117730203,152.58119383266,-93.5109122821452,-55.38,195.61,-51.800000000000004,64,77.03255906080413,103.34407509739009
PA2_TO_C2,58,-52.82337771589518,152.6900926983506,-93.74940860700194,-54.07999999999999,195.98,-51.800000000000004,64,78.3841877080294,105.15737085344017
PA2_TO_C2,59,-51.7696674550234,152.79720389478553,-93.98320742451459,-52.769999999999996,196.32999999999998,-51.800000000000004,64,79.74013755960947,106.97646377983999
PA2_TO_C2,60,-50.71474037182839,152.90251849194152,-94.21228796453828,-51.47000000000001,196.68000000000004,-51.800000000000004,64,81.0864287613931,108.78259901351777
PA2_TO_C2,61,-49.658616454597954,153.00602810349906,-94.43662804934597,-50.16,197.01,-51.800000000000004,64,82.43735437000373,110.59495159857268
PA2_TO_C2,62,-48.60131628715884,153.10772344792713,-94.65620749994548,-48.85000000000001,197.33999999999997,-51.800000000000004,64,83.78827997861434,112.40730418362757
PA2_TO_C2,63,-47.54286080845083,153.20759763587284,-94.87100552845139,-47.540000000000006,197.66000000000003,-51.800000000000004,64,85.13679768335538,114.2164264125661
PA2_TO_C2,64,-46.4832711325046,153.30564221957906,-95.0810017177901,-46.22,197.98,-51.800000000000004,64,86.49503183106336,116.03858386743887
PA2_TO_C2,65,-45.422568901487594,153.40184895521443,-95.28617699272675,-44.89999999999999,198.28,-51.800000000000004,64,87.84869353178479,117.85460709399939
PA2_TO_C2,66,-44.360775570186505,153.49620909959992,-95.48651027214626,-43.57999999999999,198.56999999999996,-51.800000000000004,64,89.20017420127289,119.6677043285078
PA2_TO_C2,67,-43.29791368497544,153.58871652443105,-95.68198375449377,-42.26,198.86,-51.800000000000004,64,90.55165487076098,121.4808015630162
PA2_TO_C2,68,-42.234005550773134,153.6793630286134,-95.87257810104781,-40.94,199.14,-51.800000000000004,64,91.90102509423562,123.29106750003217
PA2_TO_C2,69,-41.16907381901202,153.76814085817182,-96.05827437794426,-39.62,199.40000000000003,-51.800000000000004,64,93.24638749894301,125.09595669338664
PA2_TO_C2,70,-40.1031289537576,153.85501755222404,-96.23899125430627,-38.29,199.66000000000003,-51.800000000000004,64,94.60156276436074,126.91401046320767
PA2_TO_C2,71,-39.03618987823958,153.939976772089,-96.4146819293428,-36.96,199.91000000000003,-51.800000000000004,64,95.95485504616833,128.7295380908106
PA2_TO_C2,72,-37.96829818015255,154.02304379636786,-96.58541758393567,-35.63,200.15000000000003,-51.800000000000004,64,97.30633571565643,130.54263532531897
PA2_TO_C2,73,-36.8994776678617,154.104211003158,-96.75118039535157,-34.300000000000004,200.39,-51.800000000000004,64,98.65781638514451,132.35573255982737
PA2_TO_C2,74,-35.829752775415024,154.18347341545706,-96.91195389931922,-32.97,200.61,-51.800000000000004,64,100.00588908348092,134.16425778438406
PA2_TO_C2,75,-34.759148008312394,154.26082338826797,-97.06772212617592,-31.63,200.81999999999996,-51.800000000000004,64,101.36224449413109,135.98389479405867
PA2_TO_C2,76,-33.68768816862759,154.33625396422505,-97.21846945332713,-30.300000000000004,201.03,-51.800000000000004,64,102.70872137844809,137.79027913265918
PA2_TO_C2,77,-32.61539853755643,154.40976009116122,-97.36418135205341,-28.960000000000004,201.23,-51.800000000000004,64,104.06356454280328,139.60788736779244
PA2_TO_C2,78,-31.542304290062436,154.48133467447258,-97.50484226081323,-27.62,201.41000000000003,-51.800000000000004,64,105.41560004529573,141.42172894604806
PA2_TO_C2,79,-30.468431108936045,154.55097297226447,-97.64043783150109,-26.28,201.58999999999997,-51.800000000000004,64,106.76763554778817,143.23557052430365
PA2_TO_C2,80,-29.393804767762326,154.61866810134381,-97.77095418124917,-24.94,201.76,-51.800000000000004,64,108.1183760854193,145.04767482487424
PA2_TO_C2,81,-28.318451356452023,154.68441462884488,-97.89637786883975,-23.599999999999998,201.93000000000004,-51.800000000000004,64,109.46911662305043,146.85977912544482
PA2_TO_C2,82,-27.2423972641524,154.74820751656995,-98.01669642786544,-22.259999999999998,202.07999999999998,-51.800000000000004,64,110.81748600864177,148.66870237481504
PA2_TO_C2,83,-26.16566900686439,154.81004129594638,-98.13189739193845,-20.91,202.22,-51.800000000000004,64,112.17472585480013,150.48952591094925
PA2_TO_C2,84,-25.088293256508223,154.86991089153568,-98.24196809318909,-19.569999999999997,202.36,-51.800000000000004,64,113.52201943824808,152.29700590335315
PA2_TO_C2,85,-24.01029697344074,154.9278115916748,-98.34689701737234,-18.22,202.48,-51.800000000000004,64,114.87734227801725,154.11525765354824
PA2_TO_C2,86,-22.931707318956335,154.98373900900486,-98.44667307402543,-16.87,202.59999999999997,-51.800000000000004,64,116.23266511778642,155.93350940374333
PA2_TO_C2,87,-21.852551628145463,155.03768748408027,-98.54128635480694,-15.53,202.71,-51.800000000000004,64,117.5771724625042,157.7372514797638
PA2_TO_C2,88,-20.77285737727351,155.08965376136825,-98.63072567176079,-14.180000000000003,202.79999999999998,-51.800000000000004,64,118.93016913655775,159.5523825307723
PA2_TO_C2,89,-19.692652288997586,155.13963285791397,-98.7149823358053,-12.83,202.89,-51.800000000000004,64,120.28316581061132,161.3675135817808
PA2_TO_C2,90,-18.61196423594128,155.18762180084667,-98.79404690542013,-11.480000000000002,202.98,-51.800000000000004,64,121.63616248466488,163.18264463278925
PA2_TO_C2,91,-17.53082121803602,155.2336156026439,-98.86791142702478,-10.13,203.04999999999998,-51.800000000000004,64,122.9879760812824,164.99618851020665
PA2_TO_C2,92,-16.44925130893432,155.27761120152687,-98.93656618480168,-8.78,203.11,-51.800000000000004,64,124.33930875682903,166.8090872014343
PA2_TO_C2,93,-15.367282953400316,155.31960635618893,-99.00000520316733,-7.429999999999999,203.16000000000003,-51.800000000000004,64,125.69023436543966,168.6214397864892
PA2_TO_C2,94,-14.284936730472019,155.35955078778733,-99.05810188618948,-6.079999999999999,203.21,-51.800000000000004,64,127.04115997405029,170.43379237154411
PA2_TO_C2,95,-13.20224339567479,155.3974442967575,-99.11085419389339,-4.73,203.24,-51.800000000000004,64,128.39149326624153,172.24535032646767
PA2_TO_C2,96,-12.119239570985165,155.4333259341982,-99.15836949775445,-3.3799999999999994,203.27,-51.800000000000004,64,129.74182655843276,174.0569082813912
PA2_TO_C2,97,-11.035954038584121,155.46719473161767,-99.20064078858213,-2.03,203.29,-51.800000000000004,64,131.09197469845296,175.8682178429068
PA2_TO_C2,98,-9.952415705712683,155.49904677165716,-99.23766471970472,-0.6799999999999999,203.29999999999998,-51.800000000000004,64,132.44201173498195,177.67937835202585
PA2_TO_C2,99,-8.868653542257167,155.52888109151874,-99.26943581532939,0.6799999999999999,203.29999999999998,-51.800000000000004,64,133.80201173498196,179.50390481000724
PA2_TO_C2,100,-7.784696647000553,155.55669596799538,-99.29595168049701,2.03,203.29,-51.800000000000004,64,135.15204877151095,181.31506531912632
PA2_TO_C2,101,-6.700574090627914,155.58248888798403,-99.31720834713165,3.3799999999999994,203.27,-51.800000000000004,64,136.50219691153114,183.12637488064192
PA2_TO_C2,102,-5.616315065931505,155.6062589687898,-99.33320358502306,4.73,203.24,-51.800000000000004,64,137.85253020372238,184.93793283556542
PA2_TO_C2,103,-4.531948766026188,155.62800404835014,-99.34393501923688,6.079999999999999,203.21,-51.800000000000004,64,139.20286349591362,186.74949079048895
PA2_TO_C2,104,-3.44750445800988,155.64772418831205,-99.34940086171216,7.429999999999999,203.16000000000003,-51.800000000000004,64,140.55378910452424,188.56184337554387
PA2_TO_C2,105,-2.3630114133557245,155.66541793816927,-99.3496006662767,8.78,203.11,-51.800000000000004,64,141.90471471313487,190.3741959605988
PA2_TO_C2,106,-1.278498914416866,155.68108421535902,-99.34453342396944,10.13,203.04999999999998,-51.800000000000004,64,143.25604738868148,192.1870946518264
PA2_TO_C2,107,-0.19399627003694597,155.69472371767526,-99.33419986729729,11.480000000000002,202.98,-51.800000000000004,64,144.607860985299,194.0006385292438
PA2_TO_C2,108,0.8904672233824947,155.70633517500383,-99.31859957134051,12.83,202.89,-51.800000000000004,64,145.96085765935257,195.8157695802523
PA2_TO_C2,109,1.9748622970068275,155.7159185771087,-99.29773448040478,14.180000000000003,202.79999999999998,-51.800000000000004,64,147.31385433340614,197.6309006312608
PA2_TO_C2,110,3.059159680973665,155.72347442755427,-99.27160608203349,15.53,202.71,-51.800000000000004,64,148.66685100745968,199.44603168226925
PA2_TO_C2,111,4.143330136585643,155.72900397382432,-99.24021636121546,16.87,202.59999999999997,-51.800000000000004,64,150.01135835217744,201.24977375828973
PA2_TO_C2,112,5.227344481535621,155.73250618129498,-99.20356807735817,18.22,202.48,-51.800000000000004,64,151.3666811919466,203.06802550848482
PA2_TO_C2,113,6.311173611409227,155.73398248082185,-99.16166550764349,19.569999999999997,202.36,-51.800000000000004,64,152.72200403171578,204.8862772586799
PA2_TO_C2,114,7.394782462526731,155.73338500105064,-99.11438346663768,20.91,202.22,-51.800000000000004,64,154.06929761516372,206.69375725108378
PA2_TO_C2,115,8.478141025309707,155.7307228648241,-99.06174645880142,22.259999999999998,202.07999999999998,-51.800000000000004,64,155.42653746132208,208.514580787218
PA2_TO_C2,116,9.561224891104924,155.72603815765683,-99.00386883744937,23.599999999999998,201.93000000000004,-51.800000000000004,64,156.77490684691344,210.32350403658825
PA2_TO_C2,117,10.64400526204448,155.71933353831668,-98.94075634454964,24.94,201.76,-51.800000000000004,64,158.12564738454458,212.13560833715883
PA2_TO_C2,118,11.726453465486236,155.71061091327692,-98.87241568891406,26.28,201.58999999999997,-51.800000000000004,64,159.4763879221757,213.9477126377294
PA2_TO_C2,119,12.808540831343858,155.6998726481481,-98.79885227901211,27.62,201.41000000000003,-51.800000000000004,64,160.82842342466813,215.76155421598497
PA2_TO_C2,120,13.890238970931275,155.68712123001086,-98.72007462096659,28.960000000000004,201.23,-51.800000000000004,64,162.18045892716057,217.5753957942406
PA2_TO_C2,121,14.971519467755202,155.67235797569495,-98.63608964081362,30.300000000000004,201.03,-51.800000000000004,64,163.53530209151577,219.39300402937386
PA2_TO_C2,122,16.052354114914245,155.6555863167227,-98.54690555049525,31.63,200.81999999999996,-51.800000000000004,64,164.88177897583276,221.19938836797436
PA2_TO_C2,123,17.132714842548474,155.6368091544556,-98.45253107240914,32.97,200.61,-51.800000000000004,64,166.23813438648293,223.01902537764894
PA2_TO_C2,124,18.2125737773163,155.61602957632962,-98.35297588894588,34.300000000000004,200.39,-51.800000000000004,64,167.58620708481934,224.8275506022057
PA2_TO_C2,125,19.291903187215375,155.59325143620615,-98.24824980430816,35.63,200.15000000000003,-51.800000000000004,64,168.93768775430743,226.64064783671407
PA2_TO_C2,126,20.370675431420327,155.5684775792159,-98.1383625598915,36.96,199.91000000000003,-51.800000000000004,64,170.28916842379553,228.45374507122247
PA2_TO_C2,127,21.448863093295273,155.54171133133082,-98.02332482807778,38.29,199.66000000000003,-51.800000000000004,64,171.64246070560313,230.26927269882538
