probe_config,condition,public_condition,scan_id,pa_s_mm,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm_raw,source_to_focus_mm_raw,ut_path_mm_display,geometry_center_mm_display,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,green_incident,green_phase_proxy,finite_beam_factor,born_response,kirchhoff_zone_response,edge_gtd_response,total_physics_response,continuous_geometry_echo,response_vs_geometry_percent_raw,note,edm_detectability_percent,edm_detectability_db
1D16,PA1_TO_C1,PA1 → C1,30,50.11250934701744,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-105.30238674884818,169.40373249527613,-78.36332236999998,-88.94780272681719,148.268662840241,-51.8,63.412778239065155,37.67988433089199,57.531178988947836,50.165299101658896,49.713052154102336,49.68310425803046,39.40519756685063,1.0717564149925425,16,1.261575383093945,0.5241293508679807,0.05189644345656724,0.022914946437226223,0.05042242935840921,0.08674664416432377,0.12806721596796736,127.38892608714042,0.10053245592192445,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,3.0116631380342196,-30.423872133320856
1D16,PA1_TO_C1,PA1 → C1,31,51.7584240819076,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-103.77973810794379,169.9088316035536,-77.99528525000001,-87.65227176658898,149.03671069321462,-51.8,64.2156919065691,37.174367125967464,57.761008002963955,50.02059796444053,51.19830643595528,51.17266601210578,38.794501417763826,1.072912905277578,16,1.2458014174541068,-0.8274188667736382,0.04334882765985348,0.018901410830266738,0.04769673629568765,0.08500953381677935,0.121286144754187,129.1212297908106,0.09393199317469543,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,2.852197641290421,-30.896407672140942
1D16,PA1_TO_C1,PA1 → C1,32,53.396488187624406,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-102.26165901669007,170.40530053530316,-77.63168039999998,-86.34949863549022,149.79241881570235,-51.8,65.04318574105754,36.679196461632344,57.997872935997314,49.87885845973434,52.682412681602074,52.66113994873202,38.176175170461654,1.0746003527314905,16,1.229952055523338,-0.3911074547780881,0.036022144575794265,0.015506928767874956,0.04505261895699428,0.08327051754582782,0.11506405221655765,130.86437171602051,0.08792618701922168,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,2.705877237622841,-31.353838214135145
1D16,PA1_TO_C1,PA1 → C1,33,55.036251382765286,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-100.73821588591268,170.89581172542313,-77.2748287,-85.0417941166962,150.53955906514722,-51.8,65.90080896065626,36.19007565646233,58.243362217018586,49.73885068936413,54.166087224259066,54.1487348273482,37.561032177862764,1.074027973186347,16,1.2139456443965833,0.9963318392749264,0.029778553595878172,0.01265234090195128,0.04248975729680351,0.08152485355835835,0.1093335614056905,132.63304684865673,0.08243312206380018,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,2.571117472545656,-31.797561605899265
1D16,PA1_TO_C1,PA1 → C1,34,56.67785348584318,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-99.20933140422562,171.38032114943243,-76.92465684999999,-83.72823726153902,151.27634037573452,-51.8,66.7874962162814,35.70830016444626,58.497170896517716,49.60094546892941,55.64894795983185,55.63509204403876,36.950049852349814,1.0753814854398662,16,1.197829002915933,-0.7551461206095239,0.024490869885247332,0.010267555989316382,0.040012901970969524,0.07977701461776047,0.10404597806243712,134.42252859684493,0.07740218782410199,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,2.4467732387478116,-32.228125563711224
1D16,PA1_TO_C1,PA1 → C1,35,58.31184210908115,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-97.68491183004613,171.85623390918215,-76.57886669999998,-82.40714701892483,151.9995254010648,-51.8,67.69499035940882,35.237639043168656,58.75693541738926,49.46622166758321,57.130333362264224,57.11987257808032,36.33086671721885,1.0792673398725103,16,1.181771347853969,0.2548117271756854,0.020040090282214738,0.008288981576374848,0.03762982082069006,0.07803957253088958,0.0991666999423636,136.21797970402196,0.07280000786815047,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,2.332030820531132,-32.64531428325061
1D16,PA1_TO_C1,PA1 → C1,36,59.93826423474146,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-96.1649540235696,172.32360542639685,-76.23748559,-81.0798895086162,152.71134913251072,-51.8,68.62197988453805,34.77629178504863,59.02228036938893,49.3341639012951,58.61069142844894,58.603383496448764,35.7018146043321,1.0815939223352515,16,1.1658072258277359,0.1503805522127494,0.016314633196130596,0.006656901043372334,0.03534186226289502,0.07631537894579407,0.09465131380164915,138.025066895248,0.068575452220924,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,2.2258457840938473,-33.050098573945064
1D16,PA1_TO_C1,PA1 → C1,37,61.56682188805358,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-94.63941945796927,172.78497336012433,-75.90269618,-79.74659150288586,153.41177241849934,-51.8,69.57463079411168,34.32283791252815,59.294970732139284,49.2043655672511,60.0899793256518,60.085247212160745,35.076948521649996,1.0817109440276609,16,1.1498444057394932,-0.30502933831550183,0.013214890956667478,0.005318273953643531,0.03314693107258895,0.07459917743353577,0.0904515059678146,139.84857581511218,0.06467817454744527,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,2.127081972103505,-33.44431546432203
1D16,PA1_TO_C1,PA1 → C1,38,63.19765757409167,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-93.10822799735561,173.24029073689803,-75.57442215999998,-78.40622889335077,154.0985821494091,-51.8,70.55202808937389,33.87885674494351,59.574744592970994,49.07727873573045,61.56771671793822,61.56499463587317,34.45780177272937,1.0836026285013514,16,1.1339149584567236,0.226316781122412,0.01065113515724683,0.00422711851777127,0.03104651528735207,0.07289409536295041,0.086534183334459,141.68128624105387,0.06107665001518364,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,2.03496115815831,-33.828877517065166
1D16,PA1_TO_C1,PA1 → C1,39,64.82117796941134,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-91.5813825609665,173.6870967325329,-75.2504995,-77.06195424658135,154.777735059723,-51.8,71.54569039303303,33.441047894005976,59.859174210696786,48.95195869123388,63.04518460035757,63.044005642575385,33.826604416563335,1.0860743615662738,16,1.1181665808314045,0.011577852800341567,0.008540710744923824,0.0033424780660325287,0.02904251968961382,0.07120971840004578,0.08287577292455371,143.53617192900106,0.057738597742140914,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,1.9489289937824696,-34.20407966885545
