scan_id,focus_x,focus_y,focus_z,condition,max_response_raw,mean_response_raw,sigma_mm,n_elements,physics_level
45,-71.85999999999999,173.67499999999998,-51.79999999999998,A_PA1_to_C1,0.5584068988120398,0.008974868727105659,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
46,-70.585,174.195,-51.79999999999998,A_PA1_to_C1,0.5023532249106556,0.008925961162323677,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
47,-69.31,174.71500000000003,-51.79999999999998,A_PA1_to_C1,0.49481388621112105,0.008825397601242091,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
48,-68.03,175.22499999999997,-51.79999999999998,A_PA1_to_C1,0.45735755502368264,0.008702163375296326,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
49,-66.74500000000002,175.72499999999994,-51.79999999999998,A_PA1_to_C1,0.4354448406773405,0.008662599746186835,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
50,-65.45499999999998,176.21000000000004,-51.79999999999998,A_PA1_to_C1,0.43806457059316517,0.008628446015177607,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
51,-64.16499999999999,176.695,-51.79999999999998,A_PA1_to_C1,0.4348156055024231,0.00855710142397198,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
52,-62.870000000000005,177.15999999999997,-51.79999999999998,A_PA1_to_C1,0.4589155288901863,0.008458704615750462,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
53,-61.56999999999998,177.62500000000006,-51.79999999999998,A_PA1_to_C1,0.45427435249956627,0.00839312409936454,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
54,-60.26499999999999,178.07499999999996,-51.79999999999998,A_PA1_to_C1,0.45368665573089184,0.008356010165949905,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
55,-58.96000000000001,178.52000000000007,-51.79999999999998,A_PA1_to_C1,0.45891447520415196,0.008259902232437095,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
56,-57.64999999999998,178.94999999999993,-51.79999999999998,A_PA1_to_C1,0.4927698469659937,0.00834933472123858,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
57,-56.34,179.37000000000006,-51.79999999999998,A_PA1_to_C1,0.5077680447685432,0.008259442353511186,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
58,-55.02500000000002,179.785,-51.79999999999998,A_PA1_to_C1,0.5656405521024442,0.008193731337231608,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
59,-53.699999999999996,180.18499999999997,-51.79999999999998,A_PA1_to_C1,0.5395973052841855,0.008203986901363468,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
60,-52.38500000000001,180.57999999999996,-51.79999999999998,A_PA1_to_C1,0.5825511033854843,0.00819331595062115,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
61,-51.05999999999998,180.96000000000004,-51.79999999999998,A_PA1_to_C1,0.5980985297987333,0.008172395075469718,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
62,-49.73000000000001,181.33500000000004,-51.79999999999998,A_PA1_to_C1,0.634558693275127,0.008118336829660724,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
63,-48.39999999999999,181.69499999999996,-51.79999999999998,A_PA1_to_C1,0.6226223474555659,0.00810817251562582,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
64,-47.06500000000001,182.055,-51.79999999999998,A_PA1_to_C1,0.6611877879254205,0.00810031604869292,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
65,-45.72999999999999,182.39500000000004,-51.79999999999998,A_PA1_to_C1,0.7247921341918823,0.008103912415364343,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
66,-44.39000000000001,182.73000000000002,-51.79999999999998,A_PA1_to_C1,0.6599878194308676,0.0080980509649896,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
67,-43.05,183.05500000000006,-51.79999999999998,A_PA1_to_C1,0.7487174859469314,0.008055914361201946,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
68,-41.71000000000001,183.36999999999995,-51.79999999999998,A_PA1_to_C1,0.7604585245131417,0.008089734982368731,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
69,-40.37,183.67000000000004,-51.79999999999998,A_PA1_to_C1,0.7415245619212484,0.008100882027614777,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
70,-39.02,183.96499999999997,-51.79999999999998,A_PA1_to_C1,0.7846449088685408,0.008035640707645363,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
